objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7547,S13002874,Montrose and District, ,368221,762091,-2.52124,56.74934,90507291.2263729,72406.7783618577
7548,S13002875,Clackmannanshire West, ,285756,697056,-3.84066,56.152451,18593549.809053,35145.2536194276
7549,S13002876,Clackmannanshire North, ,290987,699542,-3.75752,56.175999,55049711.5672021,36246.2950865185
7550,S13002877,Clackmannanshire Central, ,290242,694759,-3.76754,56.13287,10031683.4196164,17327.7333906125
7551,S13002878,Clackmannanshire South, ,288233,692653,-3.79896,56.113499,6706142.8039387,18937.3811920637
7552,S13002879,Clackmannanshire East, ,295734,695329,-3.67944,56.139229,68810570.6292256,58511.0571370558
7553,S13002880,Stranraer and the Rhins, ,205940,554117,-5.02386,54.844151,336722778.274564,158724.070030127
7554,S13002881,Mid Galloway and Wigtown West, ,227321,561541,-4.69575,54.918621,1425354185.26509,270042.706456639
7555,S13002882,Dee and Glenkens, ,264647,573347,-4.11946,55.03616,1211764694.72345,274325.69543264
7556,S13002883,Castle Douglas and Crocketford, ,280542,568208,-3.86875,54.99408,460397469.021492,143762.490180341
7557,S13002884,Abbey, ,294823,564370,-3.64423,54.96283,205075431.359174,99526.6012677194
7558,S13002885,North West Dumfries, ,295878,577121,-3.63241,55.077579,8615494.91169389,14035.8739716618
7559,S13002886,Mid and Upper Nithsdale, ,282874,599888,-3.84541,55.27916,862609452.094893,154182.277145197
7560,S13002887,Lochar, ,297938,585235,-3.60308,55.15089,197813452.091229,79910.4162225686
7561,S13002888,Nith, ,302449,567539,-3.52626,54.99284,47576495.3823497,50395.5292771912
7562,S13002889,Annandale South, ,313454,570505,-3.3552,55.02153,195521239.276644,83928.5644951297
7563,S13002890,Annandale North, ,312698,594737,-3.37448,55.239079,745254388.033589,164349.206902588
7564,S13002891,Annandale East and Eskdale, ,330690,585113,-3.08924,55.155472,742251729.009921,179241.82429535
7565,S13002892,Annick, ,245292,646120,-4.46227,55.683819,194657739.119678,90631.6795257673
7566,S13002893,Kilmarnock North, ,242706,640454,-4.50011,55.632118,7091806.22092657,14597.7376170791
7567,S13002894,Kilmarnock West and Crosshouse, ,240268,638378,-4.53759,55.61269,17845954.7577857,24290.8124536536
7568,S13002895,Kilmarnock East and Hurlford, ,245022,637016,-4.46142,55.602009,10403220.8929461,17621.8372406529
7569,S13002896,Kilmarnock South, ,241754,635156,-4.51217,55.584259,8124857.97624909,12949.7739241257
7570,S13002897,Irvine Valley, ,255967,638934,-4.28887,55.622589,117824181.568409,55471.8206265262
7571,S13002898,Ballochmyle, ,261034,626525,-4.20223,55.51265,339277097.922081,117904.232032754
7572,S13002899,Cumnock and New Cumnock, ,257750,613166,-4.24735,55.391762,314975517.259786,99611.3645387162
7573,S13002900,Doon Valley, ,244669,591421,-4.44165,55.192581,261110249.775029,141440.166146235
7574,S13002901,Milngavie, ,253858,676067,-4.34226,55.955318,22719400.6030807,23763.4695392081
7575,S13002902,Bearsden North, ,253534,673232,-4.3459,55.929771,7879120.912274,13868.5365547774
7576,S13002903,Bearsden South, ,254804,671657,-4.32475,55.916012,6798074.23125504,12981.8202958346
7577,S13002904,Bishopbriggs North and Campsie, ,262283,676764,-4.20779,55.964069,101930542.122316,54227.3340093034
7578,S13002905,Bishopbriggs South, ,262410,670334,-4.20248,55.906368,4666421.41004856,12221.8397206661
7579,S13002906,Lenzie and Kirkintilloch South, ,266519,672335,-4.1378,55.925499,11264601.5170393,17813.1820498977
7580,S13002907,Kirkintilloch East and North and Twechar, ,268005,674443,-4.11506,55.944832,19309296.9060535,26770.8304951194
